Mach,Ratio_1_5,Ratio_3,Ratio_5,Ratio_7
0,2,2,2,2
0.3,2.01,2.01,2.01,2.01
0.4,2.02,2.02,2.02,2.02
0.5,2.03,2.03,2.03,2.03
0.6,2.05,2.05,2.05,2.05
0.7,2.06,2.06,2.06,2.06
0.8,2.1,2.1,2.1,2.1
0.9,2.16,2.16,2.16,2.16
1,2.3,2.3,2.3,2.3
1.05,2.36,2.36,2.36,2.36
1.1,2.4,2.4,2.4,2.4
1.15,2.38,2.37,2.37,2.38
1.2,2.37,2.32,2.3,2.3
1.3,2.35,2.27,2.21,2.21
1.4,2.35,2.25,2.16,2.13
1.5,2.35,2.24,2.12,2.08
1.75,2.37,2.26,2.08,2.03
2,2.4,2.31,2.08,2.01
2.25,2.42,2.36,2.12,2.03
2.5,2.45,2.4,2.15,2.06
3,2.48,2.49,2.22,2.1
3.5,2.51,2.57,2.28,2.14
4,2.53,2.63,2.34,2.18
4.5,2.56,2.67,2.39,2.21
5,2.57,2.7,2.43,2.24
